                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.46336,                0.32405,                0.92548,                0.95596,                0.82016,                0.89538,                0.65287,                 1.0036,                0.50521,                 1.2851,             0.00014144,             0.00014144,             0.00014144
                     84,                0.46757,                  0.323,                0.92789,                0.92756,                0.82572,                 0.8932,                0.66408,                0.96675,                0.50811,                 1.2473,             0.00013437,             0.00013437,             0.00013437
                     85,                0.46097,                0.32485,                 0.9256,                0.94618,                0.82567,                0.89442,                0.66309,                0.97888,                0.51782,                 1.2662,             0.00012731,             0.00012731,             0.00012731
                     86,                0.45797,                0.31944,                0.92461,                0.94785,                0.82517,                0.89383,                0.66192,                0.98611,                0.50058,                 1.2711,             0.00012024,             0.00012024,             0.00012024
                     87,                 0.4517,                 0.3149,                0.92289,                0.91945,                0.84182,                 0.8945,                0.66622,                0.96762,                0.50176,                 1.2714,             0.00011317,             0.00011317,             0.00011317
                     88,                0.45274,                0.31669,                0.92175,                0.94623,                0.83151,                0.89856,                0.66368,                0.96769,                0.50038,                 1.2535,              0.0001061,              0.0001061,              0.0001061
                     89,                0.44277,                0.31139,                0.91824,                0.95099,                0.82976,                0.89737,                0.66895,                 0.9511,                0.48866,                 1.2561,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.44655,                0.31137,                0.91907,                0.94111,                 0.8276,                0.89736,                0.67057,                0.94063,                0.48221,                 1.2464,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.44382,                0.26194,                0.90438,                0.95441,                 0.8202,                0.89338,                0.65606,                 0.9739,                0.49882,                 1.2757,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.42483,                0.24969,                0.89456,                0.93655,                0.83416,                0.89528,                0.66775,                0.96168,                0.49652,                 1.2582,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.41816,                0.24704,                0.89367,                0.94998,                0.82337,                0.89505,                0.67275,                0.94333,                0.49856,                 1.2304,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.41244,                0.24475,                0.89194,                0.93891,                0.82953,                0.89774,                0.66723,                 0.9603,                0.48858,                 1.2504,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.41017,                0.24144,                0.88532,                0.91271,                0.84819,                 0.8944,                0.67092,                0.95213,                0.49473,                 1.2547,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.40179,                0.23973,                0.88393,                0.95352,                0.81743,                0.89538,                0.66961,                 0.9438,                0.49872,                 1.2444,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.39597,                0.23626,                0.88184,                 0.9398,                0.82565,                0.89645,                0.66983,                0.94932,                0.49764,                 1.2514,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                 0.3969,                0.23619,                0.88347,                 0.9339,                0.83065,                0.89805,                0.67152,                0.94391,                 0.4921,                 1.2524,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                 0.3952,                0.23695,                0.88316,                0.92209,                0.83755,                0.89798,                0.67264,                0.93877,                0.49052,                 1.2493,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.38853,                0.23084,                0.87904,                0.93699,                0.82507,                0.89758,                0.67164,                0.94204,                0.49064,                 1.2464,             2.1277e-05,             2.1277e-05,             2.1277e-05
